key,context,en,de,es,fr,pt,it,nl,pl,ru,ja,zh,pt_BR,bg,cs,da,et,fi,el,hu,lv,lt,ro,sk,sl,sv,hi,af,sq,am,ar,hy,az,bn,eu,be,my,ca,hr,is,id,kn,kk,km,ko,ky,lo,mk,ms,ml,mn,ne,no,fa,pa,rm,si,ta,te,th,tr,uk,ur,vi,zu,fil,gl,ka,he,sr,gu,sw
event_end,,End,Ende,Fin,Fin,Fim,Fine,Einde,Koniec,Конец,終了,结束,Fim,Край,Konec,Slut,Lõpp,Loppu,Λήξη,Befejezés,Beigas,Pabaiga,Sfârșit,Koniec,Konec,Slut,समाप्त,Einde,Fundi,ጨርስ,نهاية,Ավարտ,Son,শেষ,Amaiera,Канец,အဆုံး,Fi,Kraj,Loki,Berakhir,ಅಂತ್ಯ,Аяқталу,បញ្ចប់,종료,Аяктоо,ສິ້ນສຸດ,Крај,Akhiri,അവസാനിക്കുന്നു,Төгсгөл,समाप्त,Slutt,پایان,ਅੰਤ,Finiziun,අවසන්,முடிவு,ముగింపు,สิ้นสุด,Bitiş,Кінець,ختم,Kết thúc,Phela,Wakas,Finalizar,დასრულება,סיום,Kraj,અંત,Mwisho
repeat_once,For repeat settings of a calendar add event app. Keep it short if possible,Does not repeat,Wiederholt sich nicht,No se repite,Ne se répète pas,Não se repete,Non si ripete,Wordt niet herhaald,Nie powtarza się,Не повторяется,繰り返しなし,不重复,Não se repete,Не се повтаря,Neopakovat,Gentages ikke,Ei kordu,Ei toistu,Δεν επαναλαμβάνεται,Nem ismétlődik,Nerepejas,Nekartoja,Nu se repetă,Neopakovať,Se ne ponovi,Upprepas inte,नहीं दोहराता,Herhaal nie,Nuk përsëritet,አይደጋግም,لا يتكرر,Չի կրկնվում,Təkrar etmir,পুনরাবৃত্তি নয়,Ez da errepikatzen,Не паўтараецца,မပြန်ဆုံးတော့,No es repeteix,Ne ponavlja se,Endurtekur ekki,Tidak berulang,ಪುನರಾವರ್ತನೆ ಇಲ್ಲ,Қайталауды қажет етпейді,មិនធ្វើម្តងទៀត,반복 안 함,Кайталанбайт,ບໍ່ມີການທຳຊ້ຳ,Не се повторува,Tidak berulang,പുനരാവൃത്തിയില്ല,Давтагдахгүй,दोहर्याउँदैन,Gjentar ikke,تکرار نمی‌شود,ਦੁਹਰਾਇਆ ਨਹੀਂ ਜਾਂਦਾ,Na repeta betg,නැවත නොකරනවා,மீண்டும் நடைபெறாது,పునరావృత్తం కాదు,ไม่ทำซ้ำ,Tekrar etmez,Не повторюється,بار بار نہیں ہوتا,Không lặp lại,Ayiqhubeki,Hindi inuulit,Non se repite,არ მეორდება,לא חוזר,Ne ponavlja se,પુનરાવર્તન કરતું નથી,Haiwezi kurudiwa
select_calendar,,Select calendar,Kalender auswählen,Seleccionar calendario,Sélectionner le calendrier,Selecione o calendário,Seleziona calendario,Selecteer kalender,Wybierz kalendarz,Выберите календарь,カレンダーを選択,选择日历,Selecionar calendário,Изберете календар,Vyberte kalendář,Vælg kalender,Vali kalender,Valitse kalenteri,Επιλέξτε ημερολόγιο,Naptár kiválasztása,Izvēlēties kalendāru,Pasirinkite kalendorių,Selectați calendarul,Vyberte kalendár,Izberi koledar,Välj kalender,कैलेंडर चुनें,Kies kalender,Zgjidh kalendarin,የዘመን መቁጠሪያ ምረጥ,اختر التقويم,Ընտրել օրացույցը,Təqvim seçin,ক্যালেন্ডার নির্বাচন করুন,Hautatu egutegia,Абярыце каляндар ShakhtarTRANS,ပြက္ခဒိန်ရွေးပါ။,Seleccioneu calendari,Odaberite kalendar,Veldu dagatal,Pilih kalender,ಕ್ಯಾಲೆಂಡರ್ ಆಯ್ಕೆ ಮಾಡಿ,Күнтізбені таңдау,ជ្រើសរើសប្រតិទិន,캘린더 선택,Күнтізбені тандаңыз,ເລືອກປະຕິທິນ,Избери календар,Pilih kalendar,കലണ്ടർ തിരഞ്ഞെടുക്കുക,Календарь сонгоно уу,क्यालेन्डर चयन गर्नुहोस्,Velg kalender,انتخاب تقویم,ਕੈਲੰਡਰ ਚੁਣੋ,Tscherner il chalender,දින දර්ශනය තෝරන්න,நாட்காட்டியை தேர்வுசெய்,క్యాలెండర్‌ను ఎంచుకోండి,เลือกปฏิทิน,Takvim seç,Оберіть календар,کیلنڈر منتخب کریں,Chọn lịch,Khetha ikhalenda,Piliin ang kalendaryo,Seleccionar calendario,კალენდარის არჩევა,בחר לוח שנה,Izaberi kalendar,કેલેન્ડર પસંદ કરો,Chagua kalenda
event_color,,Event color,Terminfarbe,Color del evento,Couleur de l'événement,Cor do evento,Colore dell'evento,Evenementkleur,Kolor wydarzenia,Цвет события,イベントの色,活动颜色,Cor do evento,Цвят на събитието,Barva události,Begivenhedsfarve,Sündmuse värv,Tapahtuman väri,Χρώμα γεγονότος,Eseményszín,Pasākuma krāsa,Renginio spalva,Culoarea evenimentului,Farba udalosti,Barva dogodka,Händelsefärg,कार्यक्रम का रंग,Gebeurteniskleur,Ngjyra e ngjarjes,የክስተት ቀለም,لون الحدث,Միջոցառման գույնը,Tədbirin rəngi,ইভেন্টের রঙ,Gertaeraren kolorea,Колер падзеі,အခမ်းအနားရောင်စုံ,Color de l'esdeveniment,Boja događaja,Viðburðar litur,Warna acara,ಈವೆಂಟ್ ಬಣ್ಣ,Оқиға түсі,ពណ៌ព្រឹត្តិការណ៍,이벤트 색상,Окуянын түсү,ສີກິດຈະການ,Боја на настанот,Warna acara,ഇവന്റിന്റെ നിറം,Үйл явдлын өнгө,कार्यक्रमको रंग,Hendelsesfarge,رنگ رویداد,ਇਵੈਂਟ ਦਾ ਰੰਗ,Colur d'eveniment,සිදුවීමේ වර්ණය,நிகழ்வின் நிறம்,ఘటన రంగు,สีของกิจกรรม,Etkinlik rengi,Колір події,واقعہ کا رنگ,Màu sự kiện,Umbala womcimbi,Kulay ng kaganapan,Cor do evento,ივენთის ფერი,צבע האירוע,Boja događaja,ઇવેન્ટનો રંગ,Rangi ya tukio
not_set,,Not set,Nicht festgelegt,No establecido,Non défini,Não definido,Non impostato,Niet ingesteld,Nie ustawiono,Не установлено,設定されていません,未设置,Não definido,Не е зададено,Nenastaveno,Ikke indstillet,Pole määratud,Ei asetettu,Δεν έχει οριστεί,Nincs beállítva,Nav iestatīts,Nenustatyta,Nesetat,Nenastavené,Ni nastavljeno,Inte satt,निर्धारित नहीं है,Nie gestel nie,Nuk është caktuar,አልተወሰነም,غير محدد,Սահմանված չէ,Təyin olunmayıb,সেট করা হয়নি,Ez da ezarri,Не вызначана,မသတ်မှတ်ရသေးပါ။,No establert,Nije postavljeno,Ekki stillt,Belum diatur,ಹೊಂದಿಸಲಾಗಿಲ್ಲ,Орнатылмаған,មិនបានកំណត់,설정되지 않음,Орнотулган эмес,ບໍ່ໄດ້ຕັ້ງຄ່າ,Не е поставено,Tidak ditetapkan,സജ്ജമാക്കിയിട്ടില്ല.,Тохиргоо хийгдээгүй,सेट गरिएको छैन,Ikke satt,تنظیم نشده,ਸੈੱਟ ਨਹੀਂ ਕੀਤਾ ਗਿਆ,Betg definì,පිහිටවී නැත,அமைக்கப்படவில்லை,సెట్ చేయబడలేదు,ไม่ได้ตั้งค่า,Ayarlanmadı,Не встановлено,غیر مقرر,Chưa được thiết lập,Ayilungisiwe,Hindi itinakda,Non establecido,დაუყენებელი,לא מוגדר,Nije postavljeno,સેટ નથી,Haijawekwa
remove_reminder,,Remove reminder,Erinnerung löschen,Eliminar recordatorio,Supprimer le rappel,Remover lembrete,Rimuovi promemoria,Herinnering verwijderen,Usuń przypomnienie,Удалить напоминание,リマインダーを削除,删除提醒,Remover lembrete,Премахнете напомняне,Odstranit připomínku,Fjern påmindelse,Eemalda meeldetuletus,Poista muistutus,Κατάργηση υπενθύμισης,Emlékeztető törlése,Noņemt atgādinājumu,Šalinti priminimą,Șterge memento,Odstrániť pripomienku,Odstrani opomnik,Ta bort påminnelse,अनुस्मारक हटाएं,Verwyder herinnering,Hiq kujtesën,አስታዋሽ አስወግድ,إزالة التذكير,Հեռացնել հիշեցումը,Xatırlatmanı sil,অনুস্মারক মুছে ফেলুন,Gogorarazlea ezabatu,Выдаліць нагадванне,သတိပေးချက် ဖယ်ရှားပါ။,Eliminar recordatori,Ukloni podsjetnik,Fjarlægja áminningu,Hapus pengingat,ಸ್ಮರಣೆಯನ್ನು ತೆಗೆದುಹಾಕಿ,Ескертуді жою,លុបការរំលឹក,리마인더 삭제,Эскертүүнү жокко чыгару,ລຶບການເຕືອນການ,Отстрани потсетник,Alih keluar peringatan,ഓർമ്മപ്പെടുത്തൽ നീക്കം ചെയ്യുക,Сануулгыг устгах,स्मरणको हटाउनुहोस्,Fjern påminnelse,حذف یادآوری,ਰਿਮਾਇੰਡਰ ਹਟਾਓ,Allontanar regurdientscha,සිහිකැඳවුම ඉවත් කරන්න,நினைவூட்டலை நீக்கு,రిమైండర్‌ను తొలగించండి,ลบการแจ้งเตือน,Hatırlatıcıyı kaldır,Видалити нагадування,یاد دہانی کو ختم کریں,Xóa lời nhắc,Susa isikhumbuzi,Alisin ang paalala,Eliminar recordatorio,შეახსენების წაშლა,הסר תזכורת,Ukloni podsetnik,રીમાઇન્ડર દૂર કરો,Ondoa kikumbusho
add_reminder,,Add reminder,Erinnerung hinzufügen,Agregar recordatorio,Ajouter un rappel,Adicionar lembrete,Aggiungi promemoria,Herinnering toevoegen,Dodaj przypomnienie,Добавить напоминание,リマインダーを追加,添加提醒,Adicionar lembrete,Добавяне на напомняне,Přidat připomínku,Tilføj påmindelse,Lisa meeldetuletus,Lisää muistutus,Προσθήκη υπενθύμισης,Emlékeztető hozzáadása,Pievienot atgādinājumu,Pridėti priminimą,Adaugă memento,Pridať pripomienku,Dodaj opomnik,Lägg till påminnelse,अनुस्मारक जोड़ें,Voeg herinnering by,Shto kujtesë,አሳሳቢ ጨምር,إضافة تذكير,Հիշեցում ավելացնել,Xatırlatma əlavə et,অনুস্মারক যোগ করুন,Gogorarazi gehitu,Дадаць нагадванне,သတိပေးချက်ထည့်ပါ။,Afegir recordatori,Dodaj podsjetnik,Bæta við áminningu,Tambah pengingat,ರಿಮೈಂಡರ್ ಸೇರಿಸಿ,Еске салу қосу,បន្ថែមការរំឭកចាំ,리마인더 추가,Эскертме кошуу,ເພີ່ມການເຕືອນຕົວຕົນ,Додадете потсетник,Tambah peringatan,ഓർമ്മിപ്പിക്കൽ ചേർക്കുക,Сануулга нэмэх,स्मरण थप्नुहोस्,Legg til påminnelse,افزودن یادآوری,ਯਾਦ ਦਿਵਾਓ ਜੋੜੋ,Agiuntar in regurdin,මතක් කිරීමක් එක් කරන්න,நினைவூட்டலை சேர்,రిమైండర్ జోడించు,เพิ่มการแจ้งเตือน,Hatırlatıcı ekle,Додати нагадування,یاد دہانی شامل کریں,Thêm nhắc nhở,Faka isikhumbuzi,Magdagdag ng paalala,Engadir recordatorio,დაამატეთ შეხსენება,הוסף תזכורת,Dodaj podsetnik,રીમાઇન્ડર ઉમેરો,Ongeza kikumbusho
event_location,,Location,Ort,Ubicación,Emplacement,Localização,Posizione,Locatie,Lokalizacja,Местоположение,場所,位置,Localização,Местоположение,Poloha,Sted,Asukoht,Sijainti,Τοποθεσία,Helyszín,Atrašanās vieta,Vieta,Locație,Miesto konania,Lokacija,Plats,स्थान,Ligging,Vendndodhja,አካባቢ,موقع,Տեղանք,Yer,অবস্থান,Kokapena,Месцазнаходжанне,တည်နေရာ,Ubicació,Lokacija,Staðsetning,Lokasi,ಸ್ಥಳ,Орын,ទីតាំង,위치,Жайгашкан жери,ສະຖານທີ່,Локација,Lokasi,സ്ഥലം,Байршил,स्थान,Sted,مکان,ਸਥਾਨ,Lieu,ස්ථානය,இடம்,స్థానం,สถานที่ตั้ง,Konum,Місцезнаходження,مقام,Địa điểm,Indawo,Lokasyon,Ubicación,მდებარეობა,מיקום,Lokacija,સ્થાન,Mahali
event_website,,Website,Webseite,Sitio web,Site web,Site,Sito web,Website,Strona internetowa,Веб-сайт,ウェブサイト,网站,Site,Уебсайт,Webová stránka,Hjemmeside,Veebisait,Verkkosivusto,Ιστότοπος,Weboldal,Vietne,Svetainė,Site web,Webová stránka,Spletna stran,Webbplats,वेबसाइट,Webwerf,Faqja e internetit,ድር ጣቢያ,موقع الكتروني,Վեբկայք,Veb sayt,ওয়েবসাইট,Webgunea,Сайт,ဝက်ဘ်ဆိုက်,Lloc web,Web-mjesto,Vefsíða,Situs Web,ವೆಬ್‌ಸೈಟ್,Веб-сайт,វេបសាយ,웹사이트,Вебсайт,ເວັບໄຊທ໌,Веб-страница,Laman web,വെബ്സൈറ്റ്,Вэбсайт,वेबसाइट,Nettsted,وب‌سایت,ਵੈੱਬਸਾਈਟ,Pagina d'internet,වෙබ් අඩවිය,இணையதளம்,వెబ్‌సైట్‌,เว็บไซต์,Web sitesi,Вебсайт,ویب سائٹ,Trang web,Iwebhusayithi,Website,Sitio web,ვებსაიტი,אתר אינטרנט,Vebsajt,વેબસાઈટ,Tovuti
set_status,,Set status,Status festlegen,Establecer estado,Définir le statut,Definir status,Imposta stato,Status instellen,Ustaw status,Установить статус,ステータスを設定する,设置状态,Definir status,Задайте статус,Nastavit stav,Angiv status,Määra staatus,Aseta tila,Ορισμός κατάστασης,Állapot beállítása,Iestatīt statusu,Nustatyti būseną,Stabilește statusul,Nastaviť stav,Nastavi status,Ange status,स्थिति सेट करें,Stel status in,Vendos statusin,ሁኔታ ይዘጋጁ,تعيين الحالة,Սահմանել վիճակը,Statusu təyin et,অবস্থা নির্ধারণ করুন,Ezarri egoera,Усталяваць статус,အခြေအနေသတ်မှတ်ပါ။,Estableix l'estat,Postavi status,Stilltu stöðu,Tetapkan status,ಸ್ಥಿತಿ ಹೊಂದಿಸಿ,Статус орнату,កំណត់ស្ថានភាព,상태 설정,Статус орнотуу,ຕັ້ງສະຖານະ,Постави статус,Tetapkan status,സ്ഥിതി സജ്ജമാക്കുക,Төлөв тохируулах,स्थिति सेट गर्नुहोस्,Angi status,تنظیم وضعیت,ਸਥਿਤੀ ਸੈੱਟ ਕਰੋ,Definir status,තත්වය සකසන්න,நிலையை அமைக்கவும்,స్థితి సెట్ చేయండి,ตั้งค่าสถานะ,Durumu ayarla,Встановити статус,حیثیت مقرر کریں,Đặt trạng thái,Beka isimo,Itakda ang katayuan,Establecer estado,სტატუსის შეყვანა,קבע סטטוס,Postavi status,સ્થિતિ સેટ કરો,Weka hali
add_attendee,,Add attendee,Teilnehmer hinzufügen,Agregar participante,Ajouter un participant,Adicionar participante,Aggiungi partecipante,Voeg deelnemer toe,Dodaj uczestnika,Добавить участника,参加者を追加,添加与会者,Adicionar participante,Добави участник,Přidat účastníka,Tilføj deltager,Lisa osaleja,Lisää osallistuja,Προσθήκη συμμετέχοντα,Résztvevő hozzáadása,Pievienot dalībnieku,Pridėti dalyvį,Adaugă participant,Pridať účastníka,Dodaj udeleženca,Lägg till deltagare,प्रतिभागी जोड़ें,Voeg deelnemer by,Shto pjesëmarrës,ተጠቃሚ ጨምር,إضافة مشارك,Ավելացնել մասնակից,İştirakçı əlavə et,অংশগ্রহণকারী যোগ করুন,Gonbidatu gehitu,Дадаць удзельніка,တက်ရောက်သူ ထည့်သွင်းပါ။,Afegir assistent,Dodaj sudionika,Bæta við þátttakanda,Tambahkan peserta,ಭಾಗವಹಿಸುವವರನ್ನು ಸೇರಿಸಿ,Қатысушы қосу,បន្ថែមអ្នកចូលរួម,참석자 추가,Катышуучу кошуу,ເພີ່ມຜູ້ເຂົ້າຮ່ວມ,Додади учесник,Tambah peserta,ഉപস্থিত വിനോദിസ്ഥാനം ചേർക്കുക,Оролцогч нэмэх,अटेन्डी थप्नुहोस्,Legg til deltaker,افزودن شرکت‌کننده,ਸ਼ਾਮਲ ਕਰੋ ਭਾਗ ਲੈਣ ਵਾਲਾ,Agiuntar participant,ක්‍රියාකරුවෙකු එක් කරන්න,பங்கேற்பாளரை சேர்,ఆహ్వానితను చేర్చండి,เพิ่มผู้เข้าร่วม,Katılımcı ekle,Додати учасника,شریک شامل کریں,Thêm người tham dự,Faka umhlanganyeli,Magdagdag ng dumalo,Engadir participante,დამსწრეს დამატება,הוסף משתתף,Dodaj učesnika,પ્રતિભાગી ઉમેરો,Ongeza mshiriki
custom,,Custom,Benutzerdefiniert,Personalizado,Personnalisé,Personalizado,Personalizzato,Aangepast,Niestandardowy,Пользовательский,カスタム,自定义,Personalizado,Персонализирано,Vlastní,Brugerdefineret,Kohandatud,Mukautettu,Προσαρμοσμένο,Egyéni,Pielāgots,Pasirinktinis,Personalizat,Vlastný,Po meri,Egna,अनुकूलित,Pasgemaak,Personalizuar,ብቸኛ,مخصص,Պատվերով,Fərdi,কাস্টম,Pertsonalizatua,Карыстацкі,စိတ်ကြိုက်,Personalitzat,Prilagođeno,Sérsniðið,Kustom,ವೈಯಕ್ತಿಕೃತ,Өзгертілген,ផ្ទាល់ខ្លួន,맞춤 설정,Ыңгайлаштырылган,ກຳ​ນົດ​ເອງ,По мерка,Tersuai,ഇഷ്‌ടാനുസൃതം,Өөрчлөн тохируулах,अनुकूलन गरिएको,Tilpasset,سفارشی,ਕਸਟਮ ਨੂੰ,Persunalisà,සාදන ලද,தனிப்பயன்,అనుకూలంగా,กำหนดเอง,Özel,Спеціальний,اپنی مرضی کے مطابق,Tùy chỉnh,Ngokwezifiso,Pasadya,Personalizado,საკუთარი,מותאם אישית,Prilagođeno,કસ્ટમ,Maalum
s_before,,%s before,%s vorher,%s antes,%s avant,%s antes,%s prima,%s voor,%s przed,%s перед,%s年以前,%s之前,%s antes,%s преди,%s před,%s før,%sist enne,"""%sia"" ennen",%s πριν,%s előtt,%s pirms,„%s“ prieš,%s înainte de,%s pred,%s pred,%s innan,%s से पहले,%s voor,"""Para %s-it""",%s በፊት,قبل %s,%s առաջ,%sdan əvvəl,%s এর আগে,%s aurretik,%s да,%s မတိုင်ခင်,%s abans,%s prije,%s fyrir,"""Sebelum %s""",%s ಮುಂಚೆ,%s алдында,%s មុន,%s년 전에,%s алдында,%s ກ່ອນ,%s пред,%s sebelum,%sയ്ക്ക് മുമ്പ്,%s-ы өмнө,%s अघि,%s før,%sقبل از,%s ਤੋਂ ਪਹਿਲਾਂ,%s avant,%s පෙර,%sக்கு முன்,%s ముందు,%s ก่อน,%sden önce,До %s року,%s سے پہلے,%s trước,%s ngaphambi,%s bago,%s antes de,%s მანამდე,%s לפני,%s pre,%s પહેલાં,Kabla ya %s
every,,Every,Alle,Cada,Chaque,Todos os,Ogni,Elk,Każdy,Каждый,すべての,每个,Cada,Всеки,Každý,Hver,Iga,Joka,Κάθε,Minden,Katru,Kiekvieną,Fiecare,Každý,Vsak,Varje,हर,Elke,Çdo,ሁሉም,كل,Բոլոր,Hər,প্রতিটি,Bakoitzeko,Кожны,တိုင်းပြည့်,Cada,Svaki,Hver,Setiap,ಪ್ರತಿ,Әрбір,រៀងរាល់,모든,Ар бир,ທຸກໆ,Секој,Setiap,ഓരോ,Бүгд,प्रत्येक,Hver,هر,ਹਰ ਇੱਕ,Mintga,සෑම,ஒவ்வொரு,ప్రతి,ทุกๆ,Her,Кожен,ہر,Mỗi,Wonke,Bawat,Cada,ყველა,כל,Svaki,દરેક,Kila
day,,day,Tag,día,jour,dia,giorno,dag,dzień,день,日,天,dia,ден,den,dag,päev,päivä,ημέρα,nap,diena,diena,zi,deň,dan,dag,दिन,dag,ditë,ቀን,يوم,օր,gün,দিন,eguna,дзень,နေ့,dia,dan,dagur,hari,ದಿನ,күн,ថ្ងៃ,일,күн,ມື້,ден,hari,ദിവസം,өдөр,दिन,dag,روز,ਦਿਨ,diRETURN_POLICY,දිනය,நாள்,రోజు,วัน,gün,день,دن,ngày,usuku,araw,día,დღე,יום,dan,દિવસ,siku
days,,days,Tage,días,jours,dias,giorni,dagen,dni,дни,日数,天数,dias,дни,dny,dage,päevad,päivät,ημέρες,napok,dienas,dienos,zile,dni,dnevi,dagar,दिनों,dae,ditë,ቀናት,أيام,օրեր,günlər,দিনগুলি,egunak,дні,ရက်များ,dies,dani,dagar,hari-hari,ದಿನಗಳು,күндер,ថ្ងៃទាំងអស់,일들,күндөр,ມື້,денови,hari-hari,ദിവസങ്ങൾ,өдрүүд,दिनहरू,dager,روزها,ਦਿਨ,dis gün,දිනයන්,நாட்கள்,రోజులు,วัน,günler,дні,دن,ngày,izinsuku,araw,días,დღეები,ימים,dani,દિવસો,siku
week,,week,Woche,semana,semaine,semana,settimana,week,tydzień,неделя,週,周,semana,седмица,týden,uge,nädal,viikko,εβδομάδα,hét,nedēļa,savaitė,săptămână,týždeň,teden,vecka,सप्ताह,week,javë,ሳምንት,أسبوع,շաբաթ,həftə,সপ্তাহ,astea,тыдзень,အပတ်,setmana,tjedan,vika,minggu,ವಾರ,апта,សប្ដាហ៍,주,жума,ອາທິດ,недела,minggu,ആഴ്ച,долоо хоног,हप्ता,uke,هفته,ਹਫ਼ਤਾ,emna,සතිය,வாரம்,వారం,สัปดาห์,hafta,тиждень,ہفتہ,tuần,iviki,linggo,semana,კვირა,שבוע,nedelja,અઠવાડિયું,wiki
weeks,,weeks,Wochen,semanas,semaines,semanas,settimane,weken,tygodnie,недели,週間,周,semanas,седмици,týdny,uger,nädalad,viikot,εβδομάδες,hetek,nedēļas,savaitės,săptămâni,týždne,tedni,veckor,सप्ताह,weke,javë,ሳምንታት,أسابيع,շաբաթներ,həftələr,সপ্তাহগুলি,asteak,тыдні,ပတ်များ,setmanes,tjedni,vikur,minggu,ವಾರಗಳು,апталар,សប្តាហ៍ា្រ,주,жумалар,ອາທິດ,недели,minggu,ആഴ്ചകൾ,долоо хоног​​,हप्ताहरू,uker,هفته‌ها,ਹਫ਼ਤੇ,emnas,සතියන්,வாரங்கள்,వారాలు,สัปดาห์,haftalar,тижні,ہفتے,tuần,amaviki,linggo,semanas,კვირები,שבועות,nedelje,અઠવાડિયાઓ,wiki
month,,month,Monat,mes,mois,mês,mese,maand,miesiąc,месяц,月 월,月份,mês,месец,měsíc,måned,kuu,kuukausi,μήνας,hónap,mēnesis,mėnuo,lună,mesiac,mesec,månad,महीना,maand,muaj,ወር HKMA00,شهر,ամիս,ay,মাস,hilabete,месяц,လ,mes,mjesec,mánuður,bulan,ತಿಂಗಳು,ай,ខែ,월,айым,ເດືອນ,месец,bulan,മാസം,сар,महिना,måned,ماه,ਮਹੀਨਾ,mais,මාසය,மாதம்,నెల్,เดือน,ay,місяць,مہینہ,tháng,inyanga,buwan,mes,თვე,חודש,mesec,મહિનો,mwezi
months,,months,Monate,meses,mois,meses,mesi,maanden,miesiące,месяцы,月々,月份,meses,месеци,měsíce,måneder,kuud,kuukaudet,μήνες,hónapok,mēneši,mėnesiai,luni,mesiace,meseci,månader,महीने,maande,muajve,ወራት,شهور,ամիսներ,aylar,মাসg,hilabeteak,месяцы,လများ,mesos,mjeseci,mánuðir,bulan-bulan,ತಿಂಗಳುಗಳು,айлар,ខែ្ម,개월,айлар,ເດືອນ,месеци,bulan-bulan,മാസങ്ങൾ,сарууд,महिनाहरू,måneder,ماه‌ها,ਮਹੀਨੇ,mais,මාසයන්,மாதங்கள்,నెలలు,เดือน,aylar,місяці,مہینے,tháng,izinyanga,buwan,meses,თვეები,חודשים,meseci,મહિનાઓ,miezi
year,,year,Jahr,año,année,ano,anno,jaar,rok,год,年,年,ano,година,rok,år,aasta,vuosi,έτος,év,gads,metai,an,rok,leto,år,वर्ष,jaar,vit,ዓመት,سنة,տարի,il,বছর,urte,год,နှစ်,any,godina,ár,tahun,ವರ್ಷ,жыл,ឆ្នាំ,년도,жыл,ປີ,година,tahun,വർഷം,жил,वर्ष,år,سال,ਸਾਲ,onn,වර්ෂය,வருடம்,సంవత్సరం,ปี,yıl,рік,سال,năm,unyaka,taon,ano,წელი,שנה,godina,વર્ષ,mwaka
years,,years,Jahre,años,ans,anos,anni,jaren,lata,годы,年間,年份,anos,години,roky,år,aastad,vuodet,χρόνια,évek,gadi,metai,ani,roky,leta,år,वर्षों,jare,vite,ዓመታት,سنوات,տարիներ,illər,বছরের,urteak,гады,နှစ်များ,anys,godine,ár,tahun-tahun,ವರ್ಷಗಳು,жылдар,ឆ្នាំ្នាំ,년도들,жылдар,ປີ,години,tahun-tahun,വർഷങ്ങൾ,жилүүд,वर्षहरू,år,سال‌ها,ਸਾਲ,onnс,වසරයි,ஆண்டுகள்,సంవత్సరాలు,ปี,yıllar,роки,سال برس,năm,iminyaka,taon,anos,წლები,שנים,godine,વર્ષો,miaka
on_day_s,Monday,On day %s,Am Tag %s,El día %s,Le jour %s,No dia %s,Il giorno %s,Op dag %s,W dniu %s,В день %s,曜日 %s,在 %s 当天,No dia %s,В ден %s,V den %s,På dagen %s,Päeval %s,Päivänä %s,Την ημέρα %s,A(z) %s napon,Šajā dienā %s,Dieną %s,În ziua %s,V deň %s,Na dan %s,På dagen %s,दिन %s को,Op dag %s,Ditën e %s,በቀን %s,في يوم %s,Օր %s,Bazar ertəsi günü %s,দিন %s,%s egunean,У дзень %s,နေ့ %s သောနေ့တွင်,El dia %s,Na dan %s,Á degi %s,Pada hari %s,ದಿನ %s,%s күні,នៅថ្ងៃ %s,%s에,Дүйшөмбү күнү %s,ໃນວັນ %s,На ден %s,Pada hari %s,ദിവസം %s,%s гарагт,दिँन %s,På dagen %s,در روز %s,ਦਿਨ %s ਨੂੰ,Il di %s,%s දිනේ,அன்று %s,రోజు %s,ในวัน %s,%s,В день %s,دن %s کو,Vào ngày %s,Ngosuku %s,Sa araw na %s,O día %s,დღეს %s,ביום %s,U danu %s,દિવસે %s,Siku ya %s
1_week,,1st week,1. Woche,Primera semana,1ère semaine,1ª semana,1ª settimana,1ste week,1. tydzień,1-я неделя,1週目,第一周,1ª semana,Първа седмица,1. týden,1. uge,1. nädal,1. viikko,1η εβδομάδα,első hét,1. nedēļa,1 savaitė,prima săptămână,1. týždeň,1. teden,1:a veckan,पहला सप्ताह,1ste week,Java e parë,አንደኛ ሳምንት,الأسبوع الأول,առաջին շաբաթ,1-ci həftə,প্রথম সপ্তাহ,1. astea,1-ы тыдзень,ပထမအပတ်,1a setmana,Prvi tjedan,1. vika,Minggu pertama,ಮೊದಲ ವಾರ,1-ші апта,សប្ដាហ៍ទី១,첫째 주,Биринчи апта,ອາທິດທຳອິດ,Прва недела,Minggu pertama,ആദ്യ ആഴ്ച,1-р долоо хоног,पहिलो हप्ता,1. uke,هفته اول,ਪਹਿਲਾ ਹਫ਼ਤਾ,Emprima emna,පළමු සතිය,முதல் வாரம்,మొదటి వారం,สัปดาห์ที่ 1,1. hafta,1-й тиждень,پہلا ہفتہ,Tuần thứ nhất,Isonto lokuqala,unang linggo,1ª semana,პირველი კვირა,שבוע ראשון,Prva nedelja,પ્રથમ સપ્તાહ,Wiki ya kwanza
